Report generated on: 03-02-2022 13:07:19
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.4702-33-MMR-THP.A","        Burma","34224.3","34976.5","35734.3","36491.8","37241.5","37977.1","38698.5","39404.4","40085.6","40731.4","41335.2","41890.2","42401.7","42890","43383.4","43901.6","44452.2","45027.2","45611.2","46181.1","46719.7","47225.1","47702.2","48148.9","48564.5","48949.9","49301.1","49621.5","49929.6","50250.4","50600.8","50990.6","51413.7","51852.5","52280.8","52680.7","53045.2","53382.5","53724.9","54067.4","54409.8"
"INTL.4702-33-BDI-THP.A","        Burundi","4157.3","4266.52","4379.73","4497.54","4621.1","4750.83","4886.75","5027.14","5168.7","5307.07","5438.96","5564.92","5685.57","5798.05","5898.96","5987.04","6060.11","6122.13","6185.56","6267.13","6378.87","6525.55","6704.12","6909.16","7131.69","7364.86","7607.85","7862.23","8126.1","8397.66","8675.61","8958.41","9245.99","9540.3","9844.3","10160","10488","10827","11181.6","11536.2","11890.8"
"INTL.4702-33-CPV-THP.A","        Cabo Verde","283.848","288.678","294.244","300.226","306.14","311.668","316.613","321.137","325.744","331.18","337.953","346.229","355.763","366.057","376.409","386.288","395.533","404.248","412.513","420.456","428.178","435.701","442.955","449.925","456.619","463.034","469.171","475.067","480.846","486.667","492.644","498.858","505.241","511.74","518.276","524.74","531.14","537.499","543.662","549.825","555.988"
"INTL.4702-33-KHM-THP.A","        Cambodia","6693.76","6749.85","6919.8","7170","7447.84","7714.89","7960.95","8198.08","8435.91","8691.33","8975.6","9289.3","9623.9","9970.73","10317.9","10656.1","10982.9","11298.6","11600.5","11886.5","12155.2","12405.4","12637.7","12856.2","13066.5","13273.4","13477.7","13680","13883.8","14093.6","14312.2","14541.4","14780.5","15026.3","15274.5","15521.4","15766.3","16009.4","16245.9","16482.4","16719"
"INTL.4702-33-CMR-THP.A","        Cameroon","8621.41","8888.53","9166.81","9456.5","9757.85","10070.8","10395.5","10731.1","11075.4","11425.8","11780.1","12137.9","12499.5","12864.1","13231","13600","13970.8","14344.4","14723.8","15112.6","15513.9","15928.9","16357.6","16800.9","17259.3","17733.4","18223.7","18730.3","19252.7","19789.9","20341.2","20906.4","21485.3","22077.3","22681.8","23298.4","23926.6","24566.1","25226","25885.9","26545.9"
"INTL.4702-33-CAN-THP.A","        Canada","24515.65","24819.9","25116.95","25366.42","25607.07","25842.12","26100.27","26446.58","26791.78","27276.78","27691.12","28037.43","28371.25","28684.75","29000.65","29302.32","29610.22","29905.95","30155.15","30401.3","30685.75","31020.9","31360.05","31644.02","31940.68","32243.75","32571.18","32889","33247.1","33628.9","34004.9","34339.32","34714.22","35082.95","35437.45","35702.9","36109.48","36545.25","37065.1","37601.23","38037.2"
"INTL.4702-33-CYM-THP.A","        Cayman Islands","16.207","16.857","17.436","18.005","18.662","19.46","20.426","21.539","22.775","24.028","25.307","26.54","27.784","29.068","30.521","32.161","34.065","36.155","38.33","40.423","42.305","43.934","45.347","46.624","47.899","49.261","50.729","52.28","53.835","55.321","56.672","57.6818","58.6916","59.7014","60.7112","61.721","62.5208","63.3206","64.1204","64.9202","65.72"
"INTL.4702-33-CAF-THP.A","        Central African Republic","2199.36","2264.44","2335.34","2408.32","2478.38","2542.17","2597.76","2646.84","2693.97","2745.74","2806.74","2878.51","2959.24","3046.15","3135.02","3222.66","3308.24","3392.43","3475.49","3558.02","3640.42","3722.02","3802.13","3881.19","3959.88","4038.38","4118.08","4198","4273.37","4337.62","4386.77","4418.64","4436.41","4447.94","4464.17","4493.17","4537.68","4596.02","4673.94","4751.85","4829.76"
"INTL.4702-33-TCD-THP.A","        Chad","4514.43","4612.86","4718.16","4832.32","4957.56","5095.4","5247.28","5412.84","5589.62","5773.93","5963.25","6157.08","6356.74","6563.92","6781.06","7010.16","7250.97","7503.49","7770.05","8053.53","8355.65","8678.05","9019.23","9373.91","9734.76","10096.6","10457.1","10818","11183.6","11560.1","11952.1","12361","12784.8","13220.4","13663.6","14111","14561.7","15016.8","15486.5","15956.2","16425.9"
"INTL.4702-33-CHL-THP.A","        Chile","11362","11524.55","11685.38","11848.45","12017.92","12197.35","12387.7","12586.4","12791.2","12999.9","13211.2","13428.65","13652.55","13874.38","14092.9","14306.58","14514.58","14716.77","14913.15","15104.15","15289.98","15469.88","15645.35","15815.4","15980.65","16144.88","16306.97","16472.78","16645.3","16825.97","17009.17","17193.88","17383.87","17567.98","17738.22","17915.95","18102.75","18312.55","18584.62","18922.75","19277.38"
